Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Source
"dasar cina pelit gak mau berbagi sama orang pribumi",1,1,0,1,0,1,0,0,0,0,1,0,manual
"semua orang tionghoa itu rakus dan cuma mau cari untung aja",1,1,0,1,0,1,0,0,0,0,1,0,manual
"usir semua cina dari indonesia sekarang juga",1,1,0,1,0,1,0,0,0,0,0,1,manual
"china babi balik ke negara lo sendiri",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang tionghoa emang gak pernah mau baur sama pribumi",1,1,0,1,0,1,0,0,0,0,1,0,manual
"sipit maju melulu di negeri orang",1,1,0,1,0,1,0,0,0,0,1,0,manual
"cino lo ngapain ada di sini pergi aja balik tiongkok",1,1,0,1,0,1,0,0,0,0,0,1,manual
"semua masalah ekonomi gara gara cina yang nguasain semuanya",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang tionghoa emang licik dari sononya",1,1,0,1,0,1,0,0,0,0,1,0,manual
"cina mah emang gitu udah dari sananya serakah",1,1,0,1,0,1,0,0,0,0,1,0,manual
"bangsa cina gak punya perasaan semua maunya menang sendiri",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang arab itu brengsek semua mana ada yang baik",1,1,0,1,1,1,0,0,0,0,1,0,manual
"arab pendatang kok mau ngatur orang sini",1,1,0,1,1,1,0,0,0,0,1,0,manual
"orang india bau semua gak ada yang bersih",1,1,0,1,0,1,0,1,0,0,1,0,manual
"keling lo ngapain tinggal di sini",1,1,0,0,0,1,0,0,0,0,1,0,manual
"semua keling itu bau dan jorok",1,1,0,1,0,1,0,1,0,0,1,0,manual
"orang papua itu primitif semua belum beradab",1,1,0,1,0,1,0,0,0,0,1,0,manual
"hitam kulit keras kepala emang bawaan orang timur",1,1,0,1,0,1,0,1,0,0,1,0,manual
"orang negro itu memang biadab dari sananya",1,1,0,1,0,1,0,0,0,0,0,1,manual
"negro pergi dari sini lo gak diundang",1,1,0,0,0,1,0,0,0,0,0,1,manual
"dasar negro primitif",1,1,0,0,0,1,0,0,0,0,1,0,manual
"nigger get out of our country",1,1,0,0,0,1,0,0,0,0,0,1,manual
"all niggers are criminals and thugs",1,1,0,1,0,1,0,0,0,0,0,1,manual
"stupid nigger go back to africa",1,1,0,0,0,1,0,0,0,0,0,1,manual
"niggas are all the same lazy and dumb",1,1,0,1,0,1,0,0,0,0,0,1,manual
"fucking nigger ruining this neighborhood",1,1,0,0,0,1,0,0,0,0,0,1,manual
"n word people dont belong here",1,1,0,1,0,1,0,0,0,0,1,0,manual
"these n words are destroying society",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang kulit hitam emang pada bodoh semua",1,1,0,1,0,1,0,0,0,0,0,1,manual
"ras negro gak punya peradaban tinggi",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang hitam mah dari sononya kriminal",1,1,0,1,0,1,0,0,0,0,0,1,manual
"jawa itu emang gak punya hati semua halus di luar brengsek di dalam",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang sunda tuh cupu dan malu-maluin",1,1,0,1,0,1,0,0,0,0,1,0,manual
"batak emang keras kepala dan kasar dari sononya",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang madura bau dan kotor semua",1,1,0,1,0,1,0,1,0,0,1,0,manual
"madura tukang mabok dan tukang ribut",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang ambon itu preman semua gak ada yang baik",1,1,0,1,0,1,0,0,0,0,1,0,manual
"dayak masih kanibal sampai sekarang",1,1,0,1,0,1,0,0,0,0,1,0,manual
"suku bugis emang biadab suka bikin onar",1,1,0,1,0,1,0,0,0,0,0,1,manual
"orang flores itu bodoh dan terbelakang",1,1,0,1,0,1,0,0,0,0,1,0,manual
"semua orang padang pelit gak mau rugi",1,1,0,1,0,1,0,0,0,0,1,0,manual
"minang itu licik dan gak bisa dipercaya",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang sulawesi semua brutal dan keras",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang ntt memang miskin dan bodoh",1,1,0,1,0,1,0,0,0,0,1,0,manual
"dasar pribumi gak bisa apa-apa",1,1,0,1,0,1,0,0,0,0,1,0,manual
"asli indonesia itu malas semua minta-minta melulu",1,1,0,1,0,1,0,0,0,0,1,0,manual
"kulit hitam itu tanda kebodohan",1,1,0,1,0,1,0,1,0,0,0,1,manual
"orang bule lebih pintar dari pribumi",1,1,0,0,0,1,0,0,0,0,1,0,manual
"semua warga asing lebih beradab dari orang lokal sini",1,1,0,1,0,1,0,0,0,0,1,0,manual
"orang melayu itu pemalas dari sononya",1,1,0,1,0,1,0,0,0,0,1,0,manual
"dasar cina lo ngomong apa sih gak ada gunanya",1,1,0,0,0,1,0,0,0,0,1,0,manual
"chinese people are taking over everything we must stop them",1,1,0,1,0,1,0,0,0,0,0,1,manual
"typical chinese behavior greedy and dishonest",1,1,0,1,0,1,0,0,0,0,1,0,manual
"these chinese immigrants are ruining our economy",1,1,0,1,0,1,0,0,0,0,0,1,manual
